id,texto,categoria,fecha_creacion,autor
nivel_1900,"""Nivel 1900 :se ubican el taller, bombeo, 20 personas, 3 baños, puertas corta fuego.""",descripcion,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
sensor_co_1900,"""sensor CO en nivel 1900: co_1900: concentración%. Niveles críticos a partir de 0.5%""",sensores,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
protocolo_incendio_1900,"""En caso de incendio en 1900 taller, si es un conato, usar extintores. Si el fuego se declara, evacuar inmediatamente. Cerrar puertas cortafuego del taller, aumentar al 95% V1, continuar evacuando mina. Si V1 no funciona, cerrar puertas corta fuego, aumentar a 95 % V2, apagar todos los ventiladores auxiliares en 1950. Si V2 y V1 fallan,  cerrar puertas corta fuego, evacuar a la salida en niveles 1900 y superiores; en niveles inferiores, evacuar a la salida o refugio. Usar auto rescatador si CO > 0.5%.""",plan de emergencia,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
info_general,"""Mina 'El Oregano' tiene 6 niveles. El nivel 2000 es la entrada con rampa de 250 m y pendiente del 15%, conectando los niveles principales. Cuenta con 3 ventiladores: V1 (extractor mayor capacidad), V2 (extractor), V3 (inyector). Sensores CO: co_nivel:0.01%. Señalización verde hacia la salida y amarilla hacia operaciones, baño en cada nivel en los cruceros a la rampa. """,descripcion,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
nivel_1750,"""Nivel 1750: profundización de rampa, acarreo de material, barrenación y voladuras. Hasta 6 personas. Mayor riesgo de inundacion""",descripcion,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
sensor_co_1750,"""sensor CO en nivel 1750: co_1750: concentración%. Niveles críticos a partir de 0.5%, excepto en tiempo de ventilacion""",sensores,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
protocolo_incendio_1750,"En caso de incendio en 1750, si es un conato, usar extintores. Si el fuego se declara, evacuar inmediatamente. Invertir V3 al 40% para reducir humo. Evacuar a la salida en niveles 1900 y superiores; en niveles inferiores, evacuar a la salida o refugio segun distancia. Usar auto rescatador si CO > 0.5%. Si V3 falla, agilizar salida en 1900 y subir V1 al 95%, aunque contaminará el taller.",plan de emergencia,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
v1,"""V1 es un ventilador extractor principal, comunica taller, 1850 y 1810 por contrapozos (no rutas de escape). Ubicado en superficie, con capacidad de 200,000 CFM, opera al 80%. En caso de fallo, notificar a la mina. V1:1 encendido, V1:0 apagado.""",descripcion,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
v2,"""V2 es un ventilador extractor principal, comunica taller y 1950 por contrapozos (no rutas de escape). Ubicado en superficie, con capacidad de 100,000 CFM, opera al 90%. En caso de fallo, notificar a la mina. V2:1 encendido, V2:0 apagado.""",descripcion,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
v3,"""V3 es un ventilador inyector principal, comunica 1950, 1900, 1850,1810 y 1750 por contrapozos (no rutas de escape). Ubicado en superficie, con capacidad de 100,000 CFM, opera al 95%. En caso de fallo, notificar a la mina. V2:1 encendido, V2:0 apagado.""",descripcion,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
refugio_minero,"""El refugio minero, ubicado en el nivel 1850, es para el personal de los niveles 1850 y inferiores. Capacidad de 15 personas, autonomía de 2 días, con bacinica de polvo químico, barras energéticas, agua y oxígeno. Para activarlo, abrir oxígeno y sellar la puerta principal.""",descripcion,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
autorescatador,"""Se tiene le modelo Autorescatador MSA W65. Usar auto rescatador si la persona está a concentraciones de CO > 0.5%  por gas de voladura o humo de incendio, su uso puede causar quemaduras en la boca, pero salvará su vida.""",descripcion,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
taller_1900,Usar autorescatador MSA W65 si CO > 0.5% por gas de voladura o humo de incendio.,descripcion,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
incendios_mina,"""Si observa humo negro o flamas, active los sistemas de supresión o use el extintor más cercano. Si el fuego persiste, siga los protocolos de incendio según su ubicación. Brinde primeros auxilios si hay personal lesionado.""",descripcion,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
nivel_1810,"""Nivel 1810, acarreo de mineral con camiones y scoop tram, también hay voladuras.  Hasta 4 personas.""",descripcion,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
sensor_co_1810,"""sensor CO en nivel 1810: co_1810: concentración%. Niveles críticos a partir de 0.5%, excepto en tiempo de ventilacion""",sensores,09/01/2025,"departamento de planeacion, seguridad, operación, almacen, ti."
